num_http,num_get,num_post,num_request_to_malware,other_format_inbetween,fake_format,exe_referer,exe_post,url_entropy,path_num,path_length,path_entropy,param_num,param_length,param_entropy,exe_entropy,exe_functions,exe_virustotal,dns_entropy,dns_availability,dns_email_entropy,dns_alexa,dns_blacklist,dns_tld,results
178,175,3,178,0,0,1,0,0.620824364196,7,6.57142857143,0.200906283862,2,12.4285714286,0.154416731777,7.97634391123,7,0,0.441896795832,0,0.487198366009,1,0,1,1
25,20,3,25,0,0,1,0,0.591441199705,7,9.71428571429,0.213184107656,0,0.0,0.0,7.99084288799,6,0,0.446010544843,1,0,1,0,1,1
26,20,4,26,0,0,1,0,0.590147898992,6,13.8333333333,0.210324430221,0,0.0,0.0,7.98305637411,3,0,0.446010544843,1,0,1,0,1,1
25,21,2,25,0,0,1,0,0.598742482404,6,10.0,0.203493299743,0,0.0,0.0,7.98950764252,3,0,0.446010544843,1,0,1,0,1,1
120,114,6,120,0,0,1,0,0.614526263879,4,13.75,0.285842742184,0,0.0,0.0,7.99601520253,5,1,0.431852795396,0,0.55871778335,1,0,1,1
167,162,5,167,0,0,1,0,0.587803799251,7,6.28571428571,0.188475920554,2,12.1428571429,0.140126276565,7.99069878916,6,1,0.467619158927,0,0.487198366009,1,0,1,1
136,135,1,136,0,0,1,0,0.60269780783,7,5.71428571429,0.186861333081,2,11.5714285714,0.143228617931,7.96083404042,6,1,0.467619158927,0,0.487198366009,1,0,1,1
113,105,8,113,1,0,1,0,0.643148668857,4,13.75,0.295660892729,0,0.0,0.0,7.99362679276,8,0,0.431852795396,0,0.55871778335,1,0,1,1
26,20,4,26,0,0,1,0,0.596647144642,6,10.5,0.205523360463,0,0.0,0.0,7.99946144927,4,0,0.446010544843,1,0,1,0,1,1
145,136,9,145,0,0,1,0,0.61514171691,4,13.75,0.289582020466,0,0.0,0.0,7.99880285068,6,1,0.431852795396,0,0.55871778335,1,0,1,1
27,21,4,27,0,0,1,0,0.554414210556,6,9.83333333333,0.19931774602,0,0.0,0.0,7.96748784674,5,0,0.446010544843,1,0,1,0,1,1
143,142,1,143,0,0,1,0,0.621106870181,7,6.28571428571,0.193295336451,2,12.1428571429,0.146816782905,7.9712998566,7,0,0.441896795832,0,0.487198366009,1,0,1,1
25,20,3,25,0,0,1,0,0.58679821524,6,11.0,0.203770417048,0,0.0,0.0,7.46013106534,6,0,0.446010544843,1,0,1,0,1,1
208,194,14,208,0,0,1,0,0.603686314006,7,5.42857142857,0.184416781474,2,11.2857142857,0.143910714055,7.99805271801,8,0,0.467619158927,0,0.487198366009,1,0,1,1
172,168,4,172,0,0,1,0,0.606722447436,7,5.28571428571,0.170472131686,2,11.1428571429,0.144248237771,7.8537710325,17,1,0.467619158927,0,0.487198366009,1,0,1,1
1,1,0,1,0,0,0,0,0.526233373577,2,12.0,0.390625,0,0.0,0.0,7.99361065773,6,0,0.37837334212,0,0.0,1,0,1,1
25,20,3,25,0,0,1,0,0.572623220075,6,11.0,0.201818249924,0,0.0,0.0,7.99487838935,7,0,0.446010544843,1,0,1,0,1,1
158,157,1,158,0,0,1,0,0.603726691699,7,5.14285714286,0.169840809497,2,11.0,0.141376578786,7.99420371645,5,0,0.441896795832,0,0.487198366009,1,0,1,1
138,137,1,138,0,0,1,0,0.613750963764,7,5.71428571429,0.194908327052,2,11.5714285714,0.150960810573,7.97656385092,3,1,0.467619158927,0,0.487198366009,1,0,1,1
234,221,13,234,0,0,1,0,0.599118737838,7,4.28571428571,0.181800587336,2,10.1428571429,0.141247009921,7.99827649454,7,1,0.467619158927,0,0.487198366009,1,0,1,1
183,181,2,183,0,0,1,0,0.610459827146,7,4.57142857143,0.169765904587,2,10.4285714286,0.141658496049,7.99992573238,6,0,0.441896795832,0,0.487198366009,1,0,1,1
1,1,0,1,0,0,0,0,0.498518096538,5,8.2,0.288049730788,0,0.0,0.0,7.97507718604,7,1,0.461090236717,0,0.424093409995,1,0,1,1
145,129,16,145,0,0,1,0,0.616125601961,4,13.75,0.288749718928,0,0.0,0.0,7.99988578318,2,6,0.431852795396,0,0.55871778335,1,0,1,1
250,207,42,250,0,0,1,0,0.610700881768,7,5.57142857143,0.175411929159,2,11.4285714286,0.149856430004,7.99147583936,6,1,0.467619158927,0,0.487198366009,1,0,1,1
1,1,0,1,0,0,0,0,0.516560189224,6,7.16666666667,0.275883218166,0,0.0,0.0,7.59069627549,7,1,0.364252037733,0,0.469158719348,1,0,1,1
161,158,3,161,0,0,1,0,0.60767845087,7,4.14285714286,0.178965271912,2,10.0,0.139963256609,7.99938197336,5,0,0.467619158927,0,0.487198366009,1,0,1,1
112,106,6,112,0,0,1,0,0.628276740256,4,13.75,0.294563672417,0,0.0,0.0,7.99805491664,3,0,0.431852795396,0,0.55871778335,1,0,1,1
1,1,0,1,0,0,0,0,0.470283424417,2,10.5,0.369637656203,0,0.0,0.0,7.57589815028,6,0,0.40244103069,0,0.429992038022,1,0,1,1
140,136,4,140,0,0,1,0,0.634674092586,4,13.75,0.293658794201,0,0.0,0.0,7.99976105563,6,0,0.431852795396,0,0.55871778335,1,0,1,1
1,1,0,1,0,0,0,0,0.508263589762,2,13.0,0.421683008243,0,0.0,0.0,7.99745457654,6,0,0.396240631245,0,0,1,0,1,1
166,149,17,166,0,0,1,0,0.648985295075,4,13.75,0.301474846218,0,0.0,0.0,7.99733641215,5,1,0.431852795396,0,0.55871778335,1,0,1,1
105,99,6,105,0,0,1,0,0.632036142533,4,13.75,0.292205305829,0,0.0,0.0,7.99781892438,5,2,0.431852795396,0,0.55871778335,1,0,1,1
116,115,1,116,0,0,1,0,0.628276740256,4,13.75,0.294563672417,0,0.0,0.0,7.98139254401,1,0,0.431852795396,0,0.55871778335,1,0,1,1
1,1,0,1,0,0,0,0,0.524328152708,4,10.0,0.38012778468,0,0.0,0.0,7.99974453821,1,0,0.442933157223,0,0.469158719348,1,0,1,1
158,155,3,158,0,0,1,0,0.581909779673,7,6.0,0.188276165318,2,11.8571428571,0.145134894226,7.97631991609,3,0,0.441896795832,0,0.487198366009,1,0,1,1
27,21,4,27,0,0,1,0,0.608111684693,6,13.3333333333,0.218967581758,0,0.0,0.0,7.99638861327,7,0,0.446010544843,1,0,1,0,1,1
147,146,1,147,0,0,1,0,0.612830585119,7,5.42857142857,0.193230154507,2,11.2857142857,0.143508445817,7.85981617443,7,0,0.441896795832,0,0.487198366009,1,0,1,1
126,125,1,126,0,0,1,0,0.462230730868,3,6.33333333333,0.240570184113,0,0.0,0.0,7.02237052198,6,5,0.476707595098,0,0.487198366009,1,0,1,1
97,94,3,97,0,0,1,0,0.608478058191,4,13.75,0.288128532094,0,0.0,0.0,7.99140715551,7,0,0.431852795396,0,0.55871778335,1,0,1,1
1,1,0,1,0,0,0,0,0.532730298602,3,14.3333333333,0.402121567226,0,0.0,0.0,7.88702082515,6,6,0.415607849337,0,0.478488724144,1,0,1,1
1,1,0,1,0,0,0,0,0.478359350688,1,18.0,0.46568507569,0,0.0,0.0,7.99783844568,2,0,0.463037877582,0,0.424093409995,1,0,1,1
227,212,15,227,0,0,1,0,0.600133622932,7,8.57142857143,0.19385531559,2,14.4285714286,0.145853819659,7.90476224356,5,0,0.467619158927,0,0.487198366009,1,0,1,1
24,20,2,24,0,0,1,0,0.563503465429,6,12.1666666667,0.20880197742,0,0.0,0.0,7.99926492841,6,0,0.446010544843,1,0,1,0,1,1
27,21,4,27,0,0,1,0,0.571058483759,6,9.83333333333,0.194040306316,0,0.0,0.0,7.45037663486,7,0,0.446010544843,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0.550054052919,2,16.5,0.319262122054,0,0.0,0.0,7.38661046407,0,0,0.397750709551,0,0.497387219731,1,0,1,1
121,108,13,121,0,0,1,0,0.642110056887,4,13.75,0.292753915985,0,0.0,0.0,7.99658806947,8,1,0.431852795396,0,0.55871778335,1,0,1,1
1,1,0,1,0,0,0,0,0.572082842377,4,15.0,0.385747137481,0,0.0,0.0,7.99851395127,7,17,0.476796477392,0,0.473594371141,1,0,1,1
163,158,5,163,0,0,1,0,0.592525523631,7,3.85714285714,0.180748716641,2,9.71428571429,0.142823831808,7.99234073056,4,0,0.467619158927,0,0.487198366009,1,0,1,1
27,21,4,27,0,0,1,0,0.582479775171,6,12.0,0.217223199896,0,0.0,0.0,7.999135666,4,0,0.446010544843,1,0,1,0,1,1
