"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"288","136","8","125","1","0","0","0.542022859","1","13","0","1","7.79475745","5","51","0","0.484142568","0"
"1480","712","28","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"1512","728","28","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"1616","780","28","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"88","44","0","43","1","0","0","0.520626739","1","9","0","1","4.378858637","0","49","0","0.485855276","0"
"88","44","0","27","0","0","0","0.46931273","1","32","0","1","7.39345868","0","54","0","0.332653274","0"
"224","100","12","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"448","200","24","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"168","80","4","59","1","0","0","0.540442","1","33","0","1","6.927586185","1","55","0","0.481521086","0"
"272","136","0","83","1","0","0","0.575022073","1","45","0","1","7.978524544","5","51","1","0.336090237","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"112","44","12","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"120","60","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"40","20","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"104","52","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"48","20","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"40","20","0","15","1","0","0","0.515382071","5","65","0","1","6.10569725","0","54","0","0.366401102","0"
"168","80","4","39","1","0","0","0.468624357","1","9","0","1","7.155424898","0","52","0","0.35692357","0"
"376","184","4","39","1","0","0","0.468624357","1","9","0","1","7.155424898","0","52","0","0.35692357","0"
"176","88","0","63","1","0","0","0.482636985","1","32","0","1","7.346450914","0","52","0","0.332653274","0"
