Sample_name,Num_of_http_request,Num of get request,Num of post request,Num requests between first html response and malware response,Time between first html response and malware response,if_there_other_format_between_exe_html,download_malware_time,if exist fake_format(Pretending action),if exist refer_header_for_malware_request,entropy_of_downloadmalware_url,request_parameters,request_parameters_length,Get or Post request,Have_exe_file,entropy_of_exe_file,suspicious functions,vt positive results,Domain_name,availability,DN entropy,creation date,expiration date,lifetime,country,emails entropy,result
2014/01/13/2014-01-13-Goon-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/01/14/2014-01-14-Magnitude-EK-traffic,600,292,8,0,0,FALSE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/01/19/2014-01-19-asprox-traffic-from-infected-host,128,44,20,0,0,FALSE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/01/20/2014-01-20-Styx-EK-traffic,192,92,4,73,0:00:09,TRUE,0:00:00,FALSE,FALSE,0.67874592,2,119,FALSE,TRUE,7.866286644,0,52,www2.v2uhn2761ktres.4pu.com,1,0.519061582,,,,,,0
2014/01/21/2014-01-21-Neutrino-EK-traffic,96,44,4,47,0:00:12,TRUE,0:00:00,FALSE,FALSE,0.537054922,1,14,FALSE,TRUE,7.924434914,5,44,iepheiph.bandrets.com:8000,0,0.503373337,,,,,,0
2014/01/24/2014-01-24-Nuclear-EK-traffic,56,28,0,21,0:00:30,TRUE,0:00:00,FALSE,FALSE,0.572317501,1,26,FALSE,TRUE,6.615270792,0,50,h3zqxj.canoedoctor.pw,0,0.496927263,,,,,,0
2014/01/26/2014-01-26-Sweet-Orange-EK-traffic,48,20,4,9,0:00:58,FALSE,0:00:00,FALSE,FALSE,0.57150579,8,77,FALSE,TRUE,7.008825178,1,54,likestwittersfoll.us,1,0.426086874,,,,,,0
2014/01/30/2014-01-30-Asprox-malware-infection-traffic,176,48,40,0,0,FALSE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/01/31/2014-01-31-DotkaChef-EK-traffic,80,36,4,35,0:00:09,TRUE,0:00:00,FALSE,FALSE,0.501768351,2,10,FALSE,TRUE,7.600814476,5,51,now.googlefast.pw,0,0.431852795,,,,,,0
2014/01/31/2014-01-31-DotkaChef-EK-traffic,288,140,4,99,0:00:24,TRUE,0:00:00,FALSE,FALSE,0.575402859,2,28,FALSE,TRUE,7.27831284,2,54,www.auburnhaircolor.com,0,0.444441644,1258434000,1510894800,252460800,36,0.459413859,0
2014/02/01/2014-02-01-Fiesta-EK-traffic,136,64,4,59,0:00:26,TRUE,0:00:00,FALSE,FALSE,0.49582539,1,68,FALSE,TRUE,7.625870858,5,53,utrust.in.ua,0,0.35692357,,,,,0,0
2014/02/02/2014-02-03-malware-callback-from-physical-host,288,124,4,143,0:00:11,TRUE,0:00:00,FALSE,FALSE,0.553226274,1,16,FALSE,TRUE,7.883102237,2,52,oojahphi.brittmany.com:8000,0,0.494778655,,,,,,0
2014/02/02/2014-02-03-malware-callback-from-physical-host,568,244,8,139,0:00:23,TRUE,0:00:00,FALSE,FALSE,0.581213719,1,20,FALSE,TRUE,7.883102237,2,52,weilaeni.brittmany.com:8000,0,0.494778655,,,,,,0
2014/02/02/2014-02-03-malware-callback-from-physical-host,1168,272,280,139,0:00:23,TRUE,0:00:00,FALSE,FALSE,0.581213719,1,20,FALSE,TRUE,7.883102237,2,52,weilaeni.brittmany.com:8000,0,0.494778655,,,,,,0
2014/02/03/2014-02-03-Nuclear-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/02/03/2014-02-03-Nuclear-EK-traffic,272,92,36,135,0:02:52,TRUE,0:00:00,FALSE,FALSE,0.524635362,1,19,FALSE,TRUE,7.883142849,2,57,eesheshi.ontowess.com:8000,0,0.445681029,,,,,,0
2014/02/03/2014-02-03-Nuclear-EK-traffic,448,160,56,87,1:57:55,TRUE,0:00:00,FALSE,FALSE,0.537552141,1,20,FALSE,TRUE,6.506499524,0,50,eesheshi.ontowess.com:8000,0,0.445681029,,,,,,0
2014/02/03/2014-02-03-Nuclear-EK-traffic,616,244,56,77,0:00:49,TRUE,0:00:00,FALSE,FALSE,0.556045938,1,26,FALSE,TRUE,-1,-1,52,tbbq0.golferboomerang.pw,0,0.48192357,,,,,,0
2014/02/04/2014-02-04-Sweet-Orange-EK-traffic,56,28,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/02/07/2014-02-07-Fiesta-EK-traffic,176,88,0,73,0:00:21,TRUE,0:00:00,FALSE,FALSE,0.479035101,1,68,FALSE,TRUE,7.723031139,5,52,ujessy.in.ua,0,0.385620316,,,,,0,0
2014/02/09/2014-02-09-Neutrino-EK-traffic,248,108,8,123,0:07:18,TRUE,0:00:00,FALSE,FALSE,0.521431703,1,17,FALSE,TRUE,6.566400083,0,52,yeegegie.amcancode.com:8000,0,0.450289577,,,,,,0
2014/02/11/2014-02-11-post-infection-traffic,128,64,0,49,0:03:41,TRUE,0:00:00,FALSE,FALSE,0.49779391,1,68,FALSE,TRUE,7.762701822,5,52,ucrysy.in.ua,0,0.385620316,,,,,0,0
2014/02/11/2014-02-11-post-infection-traffic,2564,1280,0,859,34 days: 7:11:54,TRUE,0:00:00,FALSE,FALSE,0.585531374,8,76,FALSE,TRUE,7.838981066,1,55,pop.qihuvy.eu,0,0.404862641,,,,,,0
2014/02/12/2014-02-12-Fiesta-EK-traffic,176,88,0,71,0:00:23,TRUE,0:00:00,FALSE,FALSE,0.471660576,1,68,FALSE,TRUE,7.736421313,5,52,a.pimpmycar.ro,0,0.386633647,,,,,,0
2014/02/13/2014-02-13-Goon-EK-traffic,168,68,16,77,0:00:08,TRUE,0:00:00,FALSE,FALSE,0.514435816,1,13,FALSE,TRUE,6.454300497,2,51,paisasantcugat.com,1,0.424018409,,,,,,0
2014/02/18/2014-02-18-Fiesta-EK-traffic,72,32,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/02/19/2014-02-19-Goon-EK-traffic,1984,80,912,589,0:00:03,TRUE,0:00:00,FALSE,FALSE,0.485255639,1,9,FALSE,TRUE,6.573421739,7,52,nedapardaz.com,0,0.415607877,967694400,1661918400,694224000,364,0.473594371,0
2014/02/22/2014-02-22-Neutrino-and-Nuclear-EK-traffic,1592,768,28,663,0:00:08,TRUE,0:00:00,FALSE,FALSE,0.548355276,1,22,FALSE,TRUE,6.705193442,1,53,eikohhou.tieshuwo.com:8000,0,0.464911799,,,,,,0
2014/02/23/2014-02-23-Neutrino-EK-traffic,16,8,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/02/26/2014-02-26-Angler-EK-traffic,72,36,0,23,0:00:04,TRUE,0:00:00,FALSE,FALSE,0.652552214,1,49,FALSE,TRUE,7.884737607,3,57,northerningredients.com,0,0.437674729,1163739600,1573966800,410227200,840,0.446558678,0
