num_http,num_get,num_post,num_request_to_malware,other_format_inbetween,fake_format,exe_referer,exe_post,url_entropy,path_num,path_length,path_entropy,param_num,param_length,param_entropy,exe_entropy,exe_functions,exe_virustotal,dns_entropy,dns_availability,dns_email_entropy,dns_alexa,dns_blacklist,results
183,178,5,183,0,0,1,0,0.659300298,7,5.857142857,0.191431706,2,11.71428571,0.153017256,7.999699233,6,0,0.441896796,0,0.487198366,1,0,0
204,200,4,204,0,0,1,0,0.46060124,1,25,0.44845017,0,0,0,7.999214881,8,4,0.42076141,0,0.446558678,1,0,0
198,188,10,198,0,0,1,0,0.59547016,7,4.857142857,0.181183685,2,10.71428571,0.141023247,7.999688093,6,0,0.467619159,0,0.487198366,1,0,0
161,154,7,161,0,0,1,0,0.608493425,7,4.571428571,0.184343419,2,10.42857143,0.144073331,7.997889216,7,0,0.441896796,0,0.487198366,1,0,0
182,178,4,182,0,0,1,0,0.636124101,7,8.571428571,0.205379963,2,14.42857143,0.15924536,7.662475402,4,0,0.441896796,0,0.487198366,1,0,0
194,188,6,194,0,0,1,0,0.613059736,7,6.285714286,0.193361385,2,12.14285714,0.147733005,7.999556846,5,0,0.441896796,0,0.487198366,1,0,0
165,161,4,165,0,0,1,0,0.616815205,7,5.428571429,0.17400427,2,11.28571429,0.142456619,7.184810711,11,1,0.441896796,0,0.487198366,1,0,0
159,156,3,159,0,0,1,0,0.593398941,7,5.142857143,0.189577652,2,11,0.144278459,7.998548303,5,0,0.467619159,0,0.487198366,1,0,0
163,161,2,163,0,0,1,0,0.605356057,7,3.857142857,0.17003443,2,9.714285714,0.137259893,7.752575352,2,0,0.441896796,0,0.487198366,1,0,0
197,195,2,197,0,0,1,0,0.616242456,7,5.571428571,0.175411929,2,11.42857143,0.151017906,7.991475839,6,0,0.467619159,0,0.487198366,1,0,0
157,155,2,157,0,0,1,0,0.607464951,7,4,0.179056592,2,9.857142857,0.140910272,7.999768176,5,0,0.441896796,0,0.487198366,1,0,0
160,156,4,160,0,0,1,0,0.601975651,7,5.571428571,0.190022319,2,11.42857143,0.142620856,7.998673722,7,2,0.467619159,0,0.487198366,1,0,0
143,142,1,143,0,0,1,0,0.598307153,7,4.571428571,0.147146856,2,10.42857143,0.141055989,6.728192963,9,0,0.441896796,0,0.487198366,1,0,0
174,172,2,174,0,0,1,0,0.605820284,7,6.428571429,0.179751942,2,12.28571429,0.151501546,7.998053785,7,0,0.441896796,0,0.487198366,1,0,0
169,166,3,169,0,0,1,0,0.591694644,7,5,0.191526439,2,10.85714286,0.140641586,7.997837766,2,0,0.467619159,0,0.487198366,1,0,0
176,170,5,176,0,0,1,0,0.604689679,7,4.857142857,0.170936954,2,10.71428571,0.146973433,7.991407156,7,0,0.467619159,0,0.487198366,1,0,0
155,154,1,155,0,0,1,0,0.627948002,7,4.285714286,0.188332026,2,10.14285714,0.146002607,5.28283462,4,0,0.441896796,0,0.487198366,1,0,0
159,155,4,159,0,0,1,0,0.581591119,7,6,0.188276165,2,11.85714286,0.144608348,7.973360929,3,0,0.441896796,0,0.487198366,1,0,0
155,153,2,155,0,0,1,0,0.429840237,2,11,0.382389243,0,0,0,7.999855981,6,2,0.425498659,0,0.446558678,0,0,0
178,165,13,178,0,0,1,0,0.611008347,7,5.857142857,0.193481474,2,11.71428571,0.14892648,7.998186832,5,3,0.441896796,0,0.487198366,1,0,0
225,207,18,225,0,0,1,0,0.61759167,7,5.714285714,0.193658606,2,11.57142857,0.146493155,7.973560829,7,0,0.441896796,0,0.487198366,1,0,0
209,193,16,209,0,0,1,0,0.604700045,7,6.285714286,0.188475921,2,12.14285714,0.143927101,7.990698789,6,1,0.467619159,0,0.487198366,1,0,0
149,147,2,149,0,0,1,0,0.533072312,3,10.66666667,0.30431287,0,0,0,7.970451107,6,0,0.353477441,0,0.42409341,1,0,0
147,146,1,147,0,0,1,0,0.623664074,7,6.142857143,0.192452905,2,12,0.148248739,7.978204045,3,0,0.441896796,0,0.487198366,1,0,0
155,154,1,155,0,0,1,0,0.620850442,7,6.142857143,0.203441916,2,12,0.148804176,7.99752369,4,0,0.467619159,0,0.487198366,1,0,0
147,146,1,147,0,0,1,0,0.608949555,7,5.571428571,0.194279715,2,11.42857143,0.15015044,7.995984123,8,0,0.467619159,0,0.487198366,1,0,0
142,140,2,142,0,0,1,0,0.615463224,7,5.285714286,0.188329275,2,11.14285714,0.143565185,7.987227038,6,1,0.467619159,0,0.487198366,1,0,0
202,191,11,202,0,0,1,0,0.490931306,3,16,0.387681637,0,0,0,7.991868663,8,0,0.415795047,0,0.446558678,1,0,0
171,167,4,171,0,0,1,0,0.630669844,7,5.571428571,0.193269072,2,11.42857143,0.14899472,7.999219997,6,0,0.441896796,0,0.487198366,1,0,0
168,166,2,168,0,0,1,0,0.616319756,7,6,0.178990451,2,11.85714286,0.153635481,7.930351227,8,0,0.441896796,0,0.487198366,1,0,0
257,240,17,257,0,0,1,0,0.616066403,7,4,0.179056592,2,9.857142857,0.141186617,7.796307432,7,2,0.467619159,0,0.487198366,1,0,0
170,168,2,170,0,0,1,0,0.615467077,7,5.571428571,0.190420228,2,11.42857143,0.145933624,7.999848432,7,1,0.467619159,0,0.487198366,1,0,0
160,158,2,160,0,0,1,0,0.437674729,1,22,0.423850685,0,0,0,7.997731255,7,12,0.422347914,0,0.529243328,1,0,0
230,226,4,230,0,0,1,0,0.540607846,3,8.333333333,0.334689223,0,0,0,7.988770891,7,0,0.365241016,0,0.471694665,1,0,0
155,153,2,155,0,0,1,0,0.587282087,7,4.857142857,0.163736583,2,10.71428571,0.140409827,7.969120403,6,1,0.441896796,0,0.487198366,1,0,0
156,155,1,156,0,0,1,0,0.635575383,7,5.285714286,0.196146138,2,11.14285714,0.150608112,7.996323547,8,0,0.467619159,0,0.487198366,1,0,0
159,158,1,159,0,0,1,0,0.625780328,7,6.571428571,0.19803989,2,12.42857143,0.152497938,7.988417952,7,0,0.441896796,0,0.487198366,1,0,0
159,158,1,159,0,0,1,0,0.465241016,1,19,0.452043561,0,0,0,7.99840209,6,0,0.444426758,0,0.446558678,0,0,0
165,162,3,165,0,0,1,0,0.60253833,7,5.714285714,0.192183346,2,11.57142857,0.147840693,7.993718439,2,0,0.441896796,0,0.487198366,1,0,0
165,161,4,165,0,0,1,0,0.595033869,7,4.285714286,0.180090267,2,10.14285714,0.139470807,7.990362603,8,0,0.467619159,0,0.487198366,1,0,0
